# Common Nouns
maa4 zoek2	麻雀
maa5 laai1 gou1	馬拉糕
maau1	貓
maau1 zai2	貓仔
mai5 sin3	米線
mak6 jyu4	墨魚
man2	文
man4 hong4 gei1	民航機
man4 sang1	民生
man5 gam2	敏感
man6 tai4	問題
mei5 jung4 jyun2	美容院
mei5 sik6 keoi1	美食區
min2 fu3	面褲
min6 baau1	麵包
mit6 fo2 tung2	滅火筒
mo4 gu1	蘑菇
mok6 mun4	幕門
mong5 kau4	網球
mou2	帽
mou5 gai1	母雞
mou5 gung1	武功
mou5 seot6	武術
mui4	煤
mui4 hei3	煤氣
mun4	門
mun4 beng3	門柄
naai5	奶
naai5 caa4	奶茶
naam4 pang4 jau5	男朋友
naam4 san4	男神
naau6 zung1	鬧鐘
neoi5 pang4 jau5	女朋友
neoi5 san4	女神
ng5 caan1 juk6	午餐肉
ng5 gam1	五金
ngaan5	眼
ngai6 seot6	藝術
ngai6 seot6 gun2	藝術館
ngan4 baau1	銀包
ngan4 hong4	銀行
ngau4 lau5	牛柳
ngo2	鵝
nin4 gou1	年糕
ning2 caa4	檸茶
ning2 seoi2	檸水
ning4 mung1	檸檬
no6 mai5	糯米
nyun5 seoi2 doi2	暖水袋
paai2	牌
paai4 gwat1	排骨
paai4 zi2	牌子
pang4 jau5	朋友
pei4 daai2	皮帶
pei4 daan2	皮蛋
pei4 haai4	皮鞋
pei5	被
pei5	被
pei5 dau3	被竇
pei5 pou1	被鋪
pei5 pou1	被鋪
pin2	片
ping4 gwo2	蘋果
ping4 toi4	平台
pou2	譜
pou2 nei2	普洱
pou3	舖
pou3 tau2	舖頭
pun4 zoi1	盆栽
saam1 gaa2	衫架
saang1 gwo2	生果
saang1 jat6	生日
saang1 zin1 baau1	生煎包
sai1 do1	西多
sai1 do1 si2	西多士
sai3 kwan2	細菌
sai3 lou2	細佬
sai3 mui2	細妹
san1 man2	新聞
san1 tai2	身體
san4	神
san4 sin1	神仙
sap1 can2	濕疹
sau1 ngan2	收銀
sau1 ngan2 gei1	收銀機
sau2 bei3	手臂
sau2 doi2	手袋
sau2 gei1	手機
sau2 zi2	手指
sau2 zi2 gaap3	手指甲
sau6 baau1	壽包
se5 wui2	社會
seoi2	水
seoi2 baa1	水吧
seoi2 ce1	水車
seoi2 din6 gung1	水電工
seoi2 din6 mui4	水電煤
seoi2 gwo2	水果
seoi2 hau4	水喉
seoi2 lung4 tau4	水龍頭
seoi2 sin1	水仙
seoi2 sin1 faa1	水仙花
seoi2 zeon1	水樽
seoi6 fong2	睡房
seoi6 fu3	睡褲
seon3 hou6	信號
seon3 jung6 kaat1	信用咭
seon3 soeng1	信箱
si1 fu2	師傅
si1 lou6	思路
si2 taap3	屎塔
si4 gaan3	時間
si5 keoi1	市區
si6 do1 be1 lei2	士多啤梨
sin3	扇
sin3 lou6	線路
sing1	星
sing1 gong3 gei1	升降機
sing1 sing1	星星
sing3 zi2	蟶子
sing4 haak3	乘客
sing4 jan4	成人
sing4 nin4 jan4	成年人
siu1 mei2	燒味
siu2 baa1	小巴
siu2 baa1 zaam6	小巴站
so1	梳
so1 faa2	梳化
so1 faa2	梳化
soeng1 coeng4	商場
soeng1 fung1	傷風
sou1 gan1	鬚根
sou3 baa2	掃把
syu1	書
syu1 baau1	書包
syu1 bou2 faai3	書簿費
syu1 jyun2	書院
syu4 tiu2	薯條
syu6	樹
syu6 pei4	樹皮
syun2 jau5	損友
taai3 joeng4	太陽
taam3 jit6 zam1	探熱針
tau4	頭
tau4 faat3	頭髮
tau4 zi1	投資
tin1 toi2	天台
to1 haai2	拖鞋
to1 haai2 faan6	拖鞋飯
toi2	枱
tong1	湯
tong2	糖
tong4	糖
tong4 lin4 zi2	糖蓮子
tou4 zoeng1	圖章
tung1 cap1 faan2	通緝犯
tung4 gwan1	童軍
tyun4 deoi2	團隊
uk1	屋
uk1 deng2	屋頂
waat6 baan2	滑板
wai2 jyun4 wui2	委員會
wai6 sang1 gan1	衛生巾
wat6	核
wo1 leon2	窩輪
wu1 aa1	烏鴉
wu6 faat3 sou3	護髮素
wu6 hau2	戶口
wui2 fai3	會費
wui4 sau1 soeng1	回收箱
wun2 bou3	碗布
wut6 dung6	活動
zaam6	站
zaam6 paai2	站牌
zaap6	閘
zaap6 zi3	雜誌
zaat3 daai2	紮帶
zai3	掣
zam2 tau4	枕頭
zam2 tau4 doi2	枕頭袋
zang1 zap1	爭執
zau2 long2	走廊
ze1	遮
zeoi2	嘴
zeoi2 gok3	嘴角
zeon1	樽
zi2	紙
zi2 fai1	指揮
zi2 gan1	紙巾
zi2 ling6	指令
zi2 si6	指示
zi2 si6 paai2	指示牌
zin1	氊
zin1 deoi1	煎堆
zin2 laam5 gun2	展覽館
zin3 zang1	戰爭
zing3 gyun3	證券
zing3 zik1	正職
zip3 baan1 jan4	接班人
zit3	折
zoek2	雀
zoek3 zai2	雀仔
zoeng2	獎
zoeng2 soeng2	獎賞
zoeng2 ze2	長者
zoeng2 zong6	獎狀
zoeng6 bat6 pong5	象拔蚌
zong1	妝
zuk1	粥
zuk1 kau4	足球
zung1	鐘
zung2	糉
zyu1 juk6 gaau2	豬肉餃
zyu1 naa2	豬乸
zyu1 paa2	豬扒
zyu1 tau4	豬頭
zyu6 suk1	住宿
zyun1	磚
zyun3 caap2	轉插
zyun3 ce1 zaam6	轉車站
